Date,Open,High,Low,Close,Adj Close,Volume
2020-09-08,165.800003,166.899994,160.500000,161.080002,161.080002,22622700
2020-09-09,161.610001,163.059998,157.000000,160.779999,160.779999,21951400
2020-09-10,160.960007,163.779999,157.570007,157.690002,157.690002,14532600
2020-09-11,158.000000,161.360001,156.320007,160.229996,160.229996,14722400
2020-09-14,161.750000,165.940002,158.899994,165.350006,165.350006,17228400
2020-09-15,166.649994,168.839996,163.330002,163.490005,163.490005,14881700
2020-09-16,161.949997,170.570007,160.309998,167.460007,167.460007,21851400
2020-09-17,164.630005,168.460007,161.050003,167.529999,167.529999,19717800
2020-09-18,165.660004,169.720001,161.020004,161.139999,161.139999,22057100
2020-09-21,157.830002,158.830002,154.199997,156.350006,156.350006,23125300
2020-09-22,156.809998,160.070007,154.949997,156.800003,156.800003,17768900
2020-09-23,157.330002,160.419998,150.889999,151.179993,151.179993,18247500
2020-09-24,150.289993,150.309998,145.020004,146.050003,146.050003,27098100
2020-09-25,146.850006,156.309998,146.419998,156.029999,156.029999,29123000
2020-09-28,160.330002,168.000000,159.199997,166.080002,166.080002,38868200
2020-09-29,164.770004,165.500000,162.009995,163.600006,163.600006,19874700
2020-09-30,164.500000,170.979996,164.110001,165.259995,165.259995,38436700
2020-10-01,170.149994,172.759995,165.570007,167.860001,167.860001,30677100
2020-10-02,161.860001,169.779999,161.800003,168.080002,168.080002,31773800
2020-10-05,169.490005,172.080002,167.509995,171.199997,171.199997,19082100
2020-10-06,173.039993,175.559998,159.330002,159.539993,159.539993,47132500
2020-10-07,163.710007,166.339996,162.380005,164.610001,164.610001,26019100
2020-10-08,166.220001,168.089996,163.539993,168.000000,168.000000,20598600
2020-10-09,169.929993,170.000000,166.820007,167.330002,167.330002,17406000
2020-10-12,167.750000,169.199997,165.949997,167.350006,167.350006,12176600
2020-10-13,165.360001,165.529999,162.089996,162.139999,162.139999,15182600
2020-10-14,162.699997,165.169998,162.490005,163.240005,163.240005,10505500
2020-10-15,161.009995,164.539993,158.729996,164.240005,164.240005,13226800
2020-10-16,171.220001,173.419998,167.270004,167.350006,167.350006,31780600
2020-10-19,169.089996,170.839996,166.110001,167.110001,167.110001,16519600
2020-10-20,168.289993,169.289993,166.179993,167.240005,167.240005,12319900
2020-10-21,166.440002,167.630005,163.820007,163.860001,163.860001,11450600
2020-10-22,164.699997,169.630005,164.100006,169.070007,169.070007,14238200
2020-10-23,169.990005,170.259995,166.050003,167.360001,167.360001,10024200
2020-10-26,164.949997,165.500000,159.050003,160.830002,160.830002,16151100
